tensor(0.1032, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1119, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1265, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1466, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.1722, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2020, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2344, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.2681, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3022, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3362, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3701, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4044, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4396, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4758, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5128, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5498, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5858, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6200, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6517, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6808, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7072, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7312, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7529, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7727, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7911, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8082, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8246, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8404, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8561, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8718, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8877, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9040, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9208, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9383, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9563, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9748, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0127, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0314, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0495, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0666, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0825, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0970, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1103, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1224, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1335, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1440, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1540, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1637, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1733, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1827, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1921, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2012, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2101, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2186, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2268, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2346, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2419, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2487, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2549, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2606, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2656, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2701, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2740, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2773, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2800, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2822, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2838, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2850, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2857, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2860, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2860, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2857, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2853, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2849, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2844, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2840, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2836, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2832, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2828, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2824, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2820, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2815, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2809, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2804, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2798, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2791, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2785, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2778, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.2772, device='cuda:0', grad_fn=<AddBackward0>)
