tensor(143.6737, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7182, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7639, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8034, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8311, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8465, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8519, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8512, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8469, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8407, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8332, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8248, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8156, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8060, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7964, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7879, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7811, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7768, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7752, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7764, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7802, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7859, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.7929, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8004, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8077, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8142, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8198, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8241, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8272, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8293, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8304, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8309, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8306, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8298, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8287, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8274, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8261, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8250, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8243, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8242, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8248, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8262, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8283, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8308, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8335, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8361, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8384, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8402, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8415, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8423, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8428, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8431, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8432, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8433, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8434, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8436, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8438, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8441, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8446, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8453, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8463, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8474, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8487, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8499, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8520, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8527, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8532, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8535, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8536, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8536, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8535, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8534, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8534, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8534, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8534, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8535, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8537, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8539, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8540, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8541, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8542, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8544, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8546, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8548, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8550, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8552, device='cuda:0', grad_fn=<MeanBackward0>)
