tensor(143.8579, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8580, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8570, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8554, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8540, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8534, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8533, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8531, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8527, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8521, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8514, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8510, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8510, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8510, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8512, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8512, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8514, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8517, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8520, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8522, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8524, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8524, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8525, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8526, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8526, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8526, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8525, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8524, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8521, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8519, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8517, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8515, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8512, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8510, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8509, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8509, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8509, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8510, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8510, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8511, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8512, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8512, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8512, device='cuda:0', grad_fn=<MeanBackward0>)
